N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
96,한국가스공사,"37,600",350,-0.92%,"5,000","34,710","92,313",10.49,"45,776",7.81,-2.24,
97,KCC,"390,000","1,000",+0.26%,"5,000","34,657","8,886",12.08,"58,883",4.92,12.79,
98,현대미포조선,"83,300","3,500",+4.39%,"5,000","33,272","39,942",10.80,"624,260",-21.64,-0.84,
99,한미약품,"270,000","2,500",-0.92%,"2,500","32,611","12,078",13.19,"5,552",43.01,1.65,
100,DB하이텍,"73,300","1,100",-1.48%,"5,000","32,544","44,399",24.68,"323,445",15.31,23.07,
101,한솔케미칼,"282,000","6,000",-2.08%,"5,000","31,965","11,335",42.58,"19,277",22.00,24.50,
102,한화시스템,"16,900",50,+0.30%,"5,000","31,927","188,919",2.11,"334,413",20.48,9.35,
103,한국항공우주,"32,650",100,+0.31%,"5,000","31,826","97,475",12.57,"156,971",222.11,6.39,
104,만도,"66,400",500,+0.76%,"1,000","31,180","46,957",20.82,"264,917",13.99,0.37,
105,GS리테일,"29,650",100,-0.34%,"1,000","31,049","104,718",8.19,"46,926",2.99,7.50,
106,롯데지주,"29,400",250,-0.84%,200,"30,843","104,909",7.90,"27,579",15.32,-3.03,
107,TIGER 차이나전기차SOLACTIVE,"16,695",100,-0.60%,0,"30,492","182,640",0.01,"978,014",N/A,N/A,
108,호텔신라,"76,600",300,-0.39%,"5,000","30,064","39,248",12.68,"54,933",-29.40,-36.74,
109,두산퓨얼셀,"45,900","1,700",-3.57%,100,"30,062","65,494",14.61,"422,342",918.00,4.18,
110,팬오션,"5,580",30,-0.53%,"1,000","29,829","534,570",11.63,"489,005",9.59,3.25,
111,동서,"29,850",50,-0.17%,500,"29,760","99,700",2.81,"31,468",28.03,8.61,
112,한전기술,"76,900","1,700",-2.16%,200,"29,391","38,220",1.40,"222,372",289.10,N/A,
113,CJ대한통운,"127,000",500,+0.40%,"5,000","28,972","22,812",21.24,"11,614",98.37,3.89,
114,포스코인터내셔널,"23,150",50,-0.22%,"5,000","28,561","123,375",6.81,"326,248",9.36,7.69,
115,BNK금융지주,"8,540",10,-0.12%,"5,000","27,835","325,935",39.04,"280,321",3.41,6.11,
116,에스원,"72,300",0,0.00%,500,"27,473","37,999",52.90,"10,996",18.07,10.48,
117,키움증권,"104,000","2,000",-1.89%,"5,000","27,268","26,220",25.52,"10,422",2.99,27.63,
118,한화생명,"3,135",15,-0.48%,"5,000","27,228","868,530",8.05,"1,161,899",3.56,1.90,
119,대우조선해양,"24,600","1,000",+4.24%,"5,000","26,394","107,291",5.39,"476,863",-1.78,2.27,
120,씨에스윈드,"61,800","1,900",-2.98%,500,"26,062","42,171",10.74,"83,335",56.08,8.19,
121,제일기획,"22,600",100,-0.44%,200,"25,999","115,041",32.12,"61,256",13.32,16.11,
122,한화에어로스페이스,"51,000",100,+0.20%,"5,000","25,821","50,630",16.50,"193,668",9.26,4.78,
123,효성첨단소재,"559,000","13,000",-2.27%,"5,000","25,043","4,480",10.25,"17,974",11.66,0.03,
124,OCI,"105,000",500,+0.48%,"5,000","25,042","23,849",16.39,"81,990",12.52,-9.89,
125,대우건설,"6,020",40,+0.67%,"5,000","25,020","415,623",11.21,"521,030",5.11,11.06,
126,SK케미칼,"141,500","3,000",-2.08%,"5,000","24,933","17,621",16.03,"41,977",67.45,30.49,
127,신세계,"251,500","2,000",-0.79%,"5,000","24,761","9,845",24.32,"12,502",9.46,-2.81,
128,롯데쇼핑,"87,500",100,+0.11%,"5,000","24,753","28,289",10.97,"13,394",-9.30,-7.70,
129,솔루스첨단소재,"80,900",900,-1.10%,100,"24,747","30,590",7.52,"138,306",-318.50,-5.10,
130,BGF리테일,"142,000","2,500",+1.79%,"1,000","24,543","17,284",32.35,"13,942",17.77,18.60,
131,KODEX 200선물인버스2X,"2,230",15,+0.68%,0,"24,394","1,093,900",5.59,"86,852,427",N/A,N/A,
132,DL이앤씨,"126,000",0,0.00%,"5,000","24,392","19,359",25.45,"46,535",N/A,N/A,
133,현대차우,"99,600",200,+0.20%,"5,000","24,259","24,357",57.46,"14,286",5.05,N/A,
134,녹십자,"207,000","3,500",-1.66%,"5,000","24,191","11,687",22.62,"18,479",28.04,7.48,
135,CJ,"82,000",900,-1.09%,"5,000","23,925","29,177",17.05,"15,073",71.06,1.89,
136,현대로템,"21,300",50,-0.23%,"5,000","23,247","109,142",4.04,"263,048",74.22,2.84,
137,LG화학우,"300,500",500,+0.17%,"5,000","23,105","7,689",69.81,"5,516",7.83,N/A,
138,한화,"30,750",250,-0.81%,"5,000","23,050","74,959",15.92,"67,291",5.20,4.79,
139,효성티앤씨,"532,000","19,000",-3.45%,"5,000","23,023","4,328",17.27,"14,667",3.26,25.10,
140,현대위아,"82,500",900,+1.10%,"5,000","22,436","27,195",6.33,"91,688",61.48,1.96,
141,현대해상,"25,050",100,+0.40%,500,"22,395","89,400",25.24,"191,588",5.85,7.13,
142,KODEX MSCI Korea TR,"12,640",60,-0.47%,0,"22,120","175,000",3.25,"2,613",N/A,N/A,
143,TIGER 200,"39,285",190,-0.48%,0,"21,509","54,750",1.64,"355,433",N/A,N/A,
144,영원무역,"48,150","2,100",+4.56%,500,"21,336","44,311",28.15,"137,361",9.26,8.03,
145,하이트진로,"29,800",100,-0.33%,"5,000","20,900","70,134",4.06,"45,162",40.60,8.23,
146,휠라홀딩스,"34,350",900,-2.55%,"1,000","20,868","60,752",43.98,"128,425",8.87,10.94,
147,한샘,"88,500","1,800",-1.99%,"1,000","20,828","23,534",16.74,"40,056",26.04,10.83,
148,더존비즈온,"68,500","2,100",-2.97%,500,"20,812","30,383",39.76,"56,720",33.53,15.09,
149,후성,"22,250",150,+0.68%,500,"20,605","92,607",7.26,"671,145",74.92,2.79,
150,두산,"119,000","4,000",-3.25%,"5,000","19,663","16,524",10.46,"14,464",-68.55,-34.34,
151,효성,"92,200","1,300",-1.39%,"5,000","19,427","21,071",7.94,"10,939",5.02,-2.26,
152,코오롱인더,"69,900",900,-1.27%,"5,000","19,236","27,519",18.96,"53,085",10.85,9.70,
153,일진하이솔루스,"52,600","1,100",-2.05%,500,"19,101","36,313",3.03,"50,674",98.13,34.27,
154,롯데정밀화학,"73,500","1,000",-1.34%,"5,000","18,963","25,800",22.02,"39,592",4.45,12.65,
155,농심,"310,500","1,000",+0.32%,"5,000","18,887","6,083",12.76,"3,807",17.69,7.50,
156,TIGER 미국나스닥100,"84,885","2,000",-2.30%,0,"18,361","21,630",0.01,"157,187",N/A,N/A,
157,한일시멘트,"26,000",0,0.00%,500,"18,008","69,262",2.59,"1,076,065",17.13,N/A,
158,TIGER MSCI Korea TR,"15,840",140,-0.88%,0,"17,788","112,300",14.25,221,N/A,N/A,
159,대웅,"30,000",100,-0.33%,500,"17,443","58,142",4.36,"18,949",16.52,15.10,
160,LS,"54,000",0,0.00%,"5,000","17,388","32,200",13.99,"15,277",6.78,3.94,
161,한미반도체,"35,100",900,-2.50%,200,"17,360","49,460",6.41,"186,108",20.87,21.03,
162,현대백화점,"73,300",600,-0.81%,"5,000","17,154","23,402",17.91,"18,610",11.09,1.65,
163,동국제강,"17,850",450,+2.59%,"5,000","17,035","95,433",22.15,"664,007",3.77,3.35,
164,대웅제약,"144,500",0,0.00%,"2,500","16,743","11,587",6.59,"8,164",145.08,2.38,
165,현대엘리베이,"40,700",350,-0.85%,"5,000","16,612","40,815",28.28,"38,686",26.22,9.78,
166,LS ELECTRIC,"55,100",0,0.00%,"5,000","16,530","30,000",17.81,"16,244",20.40,6.15,
167,JB금융지주,"8,370",20,-0.24%,"5,000","16,487","196,983",41.83,"48,307",3.45,10.06,
168,HDC현대산업개발,"24,950",400,+1.63%,"5,000","16,444","65,907",10.20,"196,278",5.42,8.85,
169,오뚜기,"446,500","1,500",-0.33%,"5,000","16,395","3,672",11.66,730,14.82,7.93,
170,KODEX 단기채권,"103,130",5,0.00%,0,"16,367","15,870",0.00,"20,394",N/A,N/A,
171,한전KPS,"36,250",550,-1.49%,200,"16,312","45,000",6.45,"61,594",13.50,8.23,
172,KODEX 레버리지,"23,120",145,-0.62%,0,"16,092","69,600",2.13,"6,482,947",N/A,N/A,
173,DGB금융지주,"9,440",40,-0.42%,"5,000","15,967","169,146",48.84,"84,382",3.37,6.93,
174,신풍제약,"29,300",400,-1.35%,500,"15,525","52,985",10.11,"297,212","4,883.33",1.72,
175,에스엘,"31,850",400,-1.24%,500,"15,353","48,203",15.27,"68,692",10.56,4.74,
176,명신산업,"29,100",600,-2.02%,500,"15,269","52,470",2.55,"213,308",-12.62,-67.39,
177,PI첨단소재,"51,800","1,000",-1.89%,500,"15,212","29,366",12.87,"62,217",26.00,15.62,
178,동원시스템즈,"51,900",500,-0.95%,"5,000","15,149","29,188",13.30,"23,551",23.51,10.97,
179,대한전선,"1,765",5,+0.28%,500,"15,117","856,473",2.66,"1,357,317",45.26,0.92,
180,LIG넥스원,"67,400",200,-0.30%,"5,000","14,828","22,000",6.59,"135,337",15.71,8.86,
181,KODEX 삼성그룹,"9,800",5,-0.05%,0,"14,749","150,500",0.22,"31,410",N/A,N/A,
182,한국앤컴퍼니,"15,400",150,-0.96%,500,"14,620","94,935",9.63,"26,443",5.91,5.08,
183,케이카,"30,050",650,-2.12%,500,"14,450","48,087",18.41,"48,799",49.92,15.11,
184,KODEX 종합채권(AA-이상)액티브,"107,610",155,-0.14%,0,"14,425","13,405",0.00,911,N/A,N/A,
185,아시아나항공,"19,350",150,-0.77%,"5,000","14,399","74,412",7.66,"85,257",-3.33,-43.83,
186,현대두산인프라코어,"7,200",80,-1.10%,"1,000","14,215","197,435",11.00,"426,337",6.16,6.47,
187,아이에스동서,"44,350",100,-0.22%,500,"13,701","30,893",4.99,"26,876",25.40,10.92,
188,롯데렌탈,"37,250",450,-1.19%,"5,000","13,646","36,634",1.50,"31,985",12.92,6.73,
189,DL,"64,700",100,+0.15%,"5,000","13,558","20,956",11.99,"26,883",2.06,11.84,
190,TIGER 단기통안채,"100,525",5,0.00%,0,"13,547","13,476",0.90,"10,294",N/A,N/A,
191,롯데리츠,"5,480",20,-0.36%,500,"13,315","242,969",9.59,"53,025",34.25,1.68,
192,ESR켄달스퀘어리츠,"6,230",60,-0.95%,"1,000","13,275","213,089",32.26,"105,214",163.95,1.14,
193,금호타이어,"4,555",45,+1.00%,"5,000","13,085","287,260",4.09,"91,398",-18.22,-6.74,
194,코스모신소재,"43,250",300,-0.69%,"1,000","13,013","30,087",6.59,"134,858",55.45,7.16,
195,한화투자증권,"6,050",170,-2.73%,"5,000","12,980","214,548",6.22,"1,693,484",10.17,5.58,
196,진원생명과학,"16,700",900,-5.11%,"1,000","12,939","77,479",12.35,"470,369",-50.45,-30.43,
197,F&F홀딩스,"32,900",250,-0.75%,500,"12,869","39,114",0.73,"11,305",0.27,16.59,
198,KODEX 2차전지산업,"21,900",45,-0.21%,0,"12,790","58,400",1.54,"452,066",N/A,N/A,
199,LG생활건강우,"607,000","1,000",+0.17%,"5,000","12,745","2,100",84.17,825,12.63,N/A,
200,태광산업,"1,123,000",0,0.00%,"5,000","12,503","1,113",5.92,139,4.93,3.26,
